year;owner;phone;owner_city;imo;type;address;country;owner_site;mmsi;dwt;owner_country;flag;port;number;me;gt;state;name;email
;; +7(812)380-23-55, ; Санкт-Петербург;8419635;Ген. груз; 190000, ул.Большая Морская, 37;;;;; Россия, ;;;;;;;SORMOVSKIY 3057;
year;owner;phone;owner_city;imo;type;address;country;owner_site;mmsi;dwt;owner_country;flag;port;number;me;gt;state;name;email
;; (8512)  56-05-92, ; Астрахань;8861682;Ген. груз; 414006, ул.Дзержинского д.61А;;;;; Россия, ;;;;;;;CORUS 1;
year;owner;phone;owner_city;imo;type;address;country;owner_site;mmsi;dwt;owner_country;flag;port;number;me;gt;state;name;email
;; +7 90(212) 2879721, ; Маджуро;8846761;Ген. груз;" Trust Company Comnplex, Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands MH 96960; c/o Sailtrade Denizcilik ve Ticaret Ltd.Sti.: Nispetiye cad. Dilhayat Sokak No.24 34337, Etiler, Istanbul, Turkey";;;;; Маршалловы острова, ;;;;;;;SAILBEAUTY;
year;owner;phone;owner_city;imo;type;address;country;owner_site;mmsi;dwt;owner_country;flag;port;number;me;gt;state;name;email
;; +7(495) 2588773, 2588774, ; Лимассол;8986315;Буксир;" Themis Tower Flour 6 Corn. Anastasion Shioukri and Olimpion str., 3035 Limassol, P.O. Box 54316, Cyprus;

 ООО СК Арк: Россия, 127299 Москва, улица Космонавта Волкова, 12, офис 206";;;;; Кипр, ;;;;;;;MB 1204;
year;owner;phone;owner_city;imo;type;address;country;owner_site;mmsi;dwt;owner_country;flag;port;number;me;gt;state;name;email
;; +7(495) 2588773, 2588774, ; Лимассол;9481910;Ген. груз;" Themis Tower Flour 6 Corn. Anastasion Shioukri and Olimpion str., 3035 Limassol, P.O. Box 54316, Cyprus;

 ООО СК Арк: Россия, 127299 Москва, улица Космонавта Волкова, 12, офис 206";;;;; Кипр, ;;;;;;;PORT OLYA 3;
